"Set","card_tag","en_us","de","it","fr","cz"
"Adventures","Scouting Party","Scouting Party","Spähtrupp",,"Pistage",
"Adventures","Plan","Plan","Planung",,"Plan de Bataille",
"Adventures","Bridge Troll","Bridge Troll","Brückentroll",,"Pont aux Trolls",
"Adventures","Quest","Quest","Quest",,"Quête",
"Adventures","Raid","Raid","Überfall",,"Raid",
"Adventures","Pathfinding","Pathfinding","Wegsuche",,"Reconnaissance",
"Adventures","Hireling","Hireling","Gefolgsmann",,"Recrue",
"Adventures","Relic","Relic","Relikt",,"Relique",
"Adventures","Save","Save","Zuflucht",,"Resserre",
"Adventures","Seaway","Seaway","Seeweg",,"Route Maritime",
"Adventures","Soldier","Soldier","Soldat",,"Soldat",
"Adventures","Swamp Hag","Swamp Hag","Sumpfhexe",,"Sorcière des marais",
"Adventures","Distant Lands","Distant Lands","Ferne Lande",,"Terres lointaines",
"Adventures","Transmogrify","Transmogrify","Transformation",,"Transfiguration",
"Adventures","Port","Port","Hafenstadt",,"Ville portuaire",
"Alchemy","Alchemist","Alchemist","Alchemist","Alchimista","Alchimiste",
"Alchemy","Apothecary","Apothecary","Apotheker","Farmacista","Apothicaire",
"Alchemy","Apprentice","Apprentice","Lehrling","Apprendista","Apprenti",
"Alchemy","Scrying Pool","Scrying Pool","Vision","Divinazione","Bassin divinatoire",
"Alchemy","Familiar","Familiar","Vertrauter","Famiglio","Familier",
"Alchemy","Golem","Golem","Golem","Golem","Golem",
"Alchemy","Herbalist","Herbalist","Kräuterkundiger","Erborista","Herboriste",
"Alchemy","Philosopher's Stone","Philosopher's Stone","Stein der Weisen","Pietra Filosofale","Pierre philosophale",
"Alchemy","Possession","Possession","Besessenheit","Possessione","Possession",
"Alchemy","Potion","Potion","Trank","Pozione","Potion",
"Alchemy","Transmute","Transmute","Verwandlung","Trasmutazione","Transmutation",
"Alchemy","University","University","Universität","Università","Université",
"Alchemy","Vineyard","Vineyard","Weinberg","Vigna","Vignoble",
"Base","Silver","Silver","Silber","Argento","Argent","Měďák"
"Base","Copper","Copper","Kupfer","Rame","Cuivre","Stříbrňák"
"Base","Estate","Estate","Anwesen","Tenuta","Domaine","Statek"
"Base","Duchy","Duchy","Herzogtum","Ducato","Duché","Vévodství"
"Base","Curse","Curse","Fluch","Maledizione","Malédiction","Kletba"
"Base","Gold","Gold","Gold","Oro","Or","Zlaťák"
"Base","Province","Province","Provinz","Provincia","Province","Provincie"
"Base","Trash","Trash","Müll","Carte Eliminate",,"Smetiště"
"Cornucopia","Jester","Jester","Harlekin","Giullare","Bouffon",
"Cornucopia","Fairgrounds","Fairgrounds","Festplatz","Mercatino","Champ de foire",
"Cornucopia","Hunting Party","Hunting Party","Treibjagd","Battuta di Caccia","Chasseurs",
"Cornucopia","Horn of Plenty","Horn of Plenty","Füllhorn","Cornucopia","Corne d'abondance",
"Cornucopia","Diadem","Diadem","Diadem","Diadema","Diadème",
"Cornucopia","Fortune Teller","Fortune Teller","Wahrsagerin","Indovina","Diseuse de bonne aventure",
"Cornucopia","Trusty Steed","Trusty Steed","Streitross","Destriero Fedele","Fidèle destrier",
"Cornucopia","Hamlet","Hamlet","Weiler","Borgo","Hameau",
"Cornucopia","Young Witch","Young Witch","Junge Hexe","Giovane Strega","Jeune sorcière",
"Cornucopia","Horse Traders","Horse Traders","Pferdehändler","Mercanti di Cavalli","Maquignons",
"Cornucopia","Menagerie","Menagerie","Menagerie","Serraglio","Ménagerie",
"Cornucopia","Followers","Followers","Gefolge","Seguaci","Partisans",
"Cornucopia","Princess","Princess","Prinzessin","Principessa","Princesse",
"Cornucopia","Harvest","Harvest","Ernte","Mietitura","Récolte",
"Cornucopia","Remake","Remake","Nachbau","Rifacimento","Renouvellement",
"Cornucopia","Bag of Gold","Bag of Gold","Ein Sack voll Gold","Borsa d'Oro","Sac d'or",
"Cornucopia","Tournament","Tournament","Turnier","Torneo","Tournoi",
"Cornucopia","Farming Village","Farming Village","Bauerndorf","Villaggio Agricolo","Village agricole",
"Dark Ages","Armory","Armory","Waffenkammer",,"Armurerie",
"Dark Ages","Altar","Altar","Altar",,"Autel",
"Dark Ages","Rogue","Rogue","Schurke",,"Bandit",
"Dark Ages","Ruined Library","Ruined Library","Zerstörte Bibliothek",,"Bibliothèque en ruines",
"Dark Ages","Junk Dealer","Junk Dealer","Schrotthändler",,"Brocanteur",
"Dark Ages","Spoils","Spoils","Beute",,"Butin",
"Dark Ages","Hovel","Hovel","Hütte",,"Cabane",
"Dark Ages","Bandit Camp","Bandit Camp","Banditenlager",,"Camp de bandits",
"Dark Ages","Catacombs","Catacombs","Katakomben",,"Catacombes",
"Dark Ages","Death Cart","Death Cart","Leichenkarren",,"Charrette de cadavres",
"Dark Ages","Knights","Knights","Ritter",,"Chevalier",
"Dark Ages","Count","Count","Graf",,"Comte",
"Dark Ages","Counterfeit","Counterfeit","Falschgeld",,"Contrefaçon",
"Dark Ages","Forager","Forager","Mundraub",,"Cueilleur",
"Dark Ages","Cultist","Cultist","Kultist",,"Cultiste",
"Dark Ages","Overgrown Estate","Overgrown Estate","Verfallenes Anwesen",,"Domaine luxuriant",
"Dark Ages","Squire","Squire","Knappe",,"Écuyer",
"Dark Ages","Hermit","Hermit","Eremit",,"Ermite",
"Dark Ages","Ironmonger","Ironmonger","Eisenhändler",,"Ferronnier",
"Dark Ages","Feodum","Feodum","Lehen",,"Fief",
"Dark Ages","Fortress","Fortress","Festung",,"Forteresse",
"Dark Ages","Madman","Madman","Verrückter",,"Fou",
"Dark Ages","Poor House","Poor House","Armenhaus",,"Hospice",
"Dark Ages","Band of Misfits","Band of Misfits","Vogelfreie",,"Malfaiteurs",
"Dark Ages","Marauder","Marauder","Marodeur",,"Maraudeur",
"Dark Ages","Ruined Market","Ruined Market","Zerstörter Markt",,"Marché en ruines",
"Dark Ages","Beggar","Beggar","Bettler",,"Mendiant",
"Dark Ages","Wandering Minstrel","Wandering Minstrel","Barde",,"Ménestrel errant",
"Dark Ages","Mercenary","Mercenary","Söldner",,"Mercenaire",
"Dark Ages","Abandoned Mine","Abandoned Mine","Verlassene Mine",,"Mine abandonnée",
"Dark Ages","Mystic","Mystic","Medium",,"Mystique",
"Dark Ages","Necropolis","Necropolis","Totenstadt",,"Nécropole",
"Dark Ages","Urchin","Urchin","Gassenjunge",,"Orphelin",
"Dark Ages","Pillage","Pillage","Raubzug",,"Pillage",
"Dark Ages","Scavenger","Scavenger","Lumpensammler",,"Pilleur",
"Dark Ages","Graverobber","Graverobber","Grabräuber",,"Pilleur de tombes",
"Dark Ages","Market Square","Market Square","Marktplatz",,"Place du marché",
"Dark Ages","Procession","Procession","Prozession",,"Procession",
"Dark Ages","Rats","Rats","Ratten",,"Rats",
"Dark Ages","Rebuild","Rebuild","Neubau",,"Reconstruction",
"Dark Ages","Survivors","Survivors","Überlebende",,"Rescapés",
"Dark Ages","Sage","Sage","Weiser",,"Sage",
"Dark Ages","Storeroom","Storeroom","Lagerraum",,"Salle d'entreposage",
"Dark Ages","Hunting Grounds","Hunting Grounds","Jagdgründe",,"Territoire de chasse",
"Dark Ages","Vagrant","Vagrant","Landstreicher",,"Vagabond",
"Dark Ages","Ruined Village","Ruined Village","Zerstörtes Dorf",,"Ville en ruines",
"Dominion 1","Adventurer","Adventurer","Abenteurer","Esploratore","Aventurier","Dobrodruh"
"Dominion 1","Woodcutter","Woodcutter","Holzfäller","Taglialegna","Bûcheron","Dřevorubec"
"Dominion 1","Chancellor","Chancellor","Kanzler","Cancelliere","Chancelier","Kancléř"
"Dominion 1","Spy","Spy","Spion","Spia","Espion","Špion"
"Dominion 1","Feast","Feast","Festmahl","Banchetto","Festin","Hostina"
"Dominion 1","Thief","Thief","Dieb","Ladro","Voleur","Zloděj"
"Dominion 1 & 2","Workshop","Workshop","Werkstatt","Officina","Atelier","Dílna"
"Dominion 1 & 2","Library","Library","Bibliothek","Biblioteca","Bibliothèque","Knihovna"
"Dominion 1 & 2","Bureaucrat","Bureaucrat","Bürokrat","Burocrate","Bureaucrate","Úředník"
"Dominion 1 & 2","Cellar","Cellar","Keller","Sotterraneo","Cave","Sklepení"
"Dominion 1 & 2","Council Room","Council Room","Ratsversammlung","Sala del Consiglio","Chambre du conseil","Zasedání Rady"
"Dominion 1 & 2","Chapel","Chapel","Kapelle","Cappella","Chapelle","Kaple"
"Dominion 1 & 2","Moat","Moat","Burggraben","Fossato","Douves","Hradní Příkop"
"Dominion 1 & 2","Festival","Festival","Jahrmarkt","Fiera","Festival","Jarmark"
"Dominion 1 & 2","Smithy","Smithy","Schmiede","Fucina","Forgeron","Kovárna"
"Dominion 1 & 2","Gardens","Gardens","Gärten","Giardini","Jardins","Zahrady"
"Dominion 1 & 2","Laboratory","Laboratory","Laboratorium","Laboratorio","Laboratoire","Laboratoř"
"Dominion 1 & 2","Market","Market","Markt","Mercato","Marché","Trh"
"Dominion 1 & 2","Militia","Militia","Miliz","Milizia","Milice","Milice"
"Dominion 1 & 2","Mine","Mine","Mine","Miniera","Mine","Důl"
"Dominion 1 & 2","Moneylender","Moneylender","Geldverleiher","Usuraio","Prêteur sur gages","Lichvář"
"Dominion 1 & 2","Remodel","Remodel","Umbau","Miglioria","Rénovation","Přestavba"
"Dominion 1 & 2","Throne Room","Throne Room","Thronsaal","Sala del Trono","Salle du Trône","Trůnní sál"
"Dominion 1 & 2","Witch","Witch","Hexe","Strega","Sorcière","Čarodějnice"
"Dominion 1 & 2","Village","Village","Dorf","Villaggio","Village","Vesnice"
"Dominion 2","Artisan","Artisan",,,,
"Dominion 2","Bandit","Bandit",,,,
"Dominion 2","Harbinger","Harbinger",,,,
"Dominion 2","Merchant","Merchant",,,,
"Dominion 2","Poacher","Poacher",,,,
"Dominion 2","Vassal","Vassal",,,,
"Dominion 2","Sentry","Sentry",,,,
"Empires","Aqueduct","Aqueduct","Aquädukt",,,
"Empires","Archive","Archive","Archiv",,,
"Empires","Arena","Arena","Arena",,,
"Empires","Advance","Advance","Aufstieg",,,
"Empires","Sprawling Castle","Sprawling Castle","Ausgedehntes Schloss",,,
"Empires","Baths","Baths","Badehaus",,,
"Empires","Banquet","Banquet","Bankett",,,
"Empires","Basilica","Basilica","Basilika",,,
"Empires","Farmers' Market","Farmers' Market","Bauernmarkt",,,
"Empires","Dominate","Dominate","Beherrschen",,,
"Empires","Humble Castle","Humble Castle","Bescheidenes Schloss",,,
"Empires","Keep","Keep","Bollwerk",,,
"Empires","Fountain","Fountain","Brunnen",,,
"Empires","Plunder","Plunder","Diebesgut",,,
"Empires","Bustling Village","Bustling Village","Emsiges Dorf",,,
"Empires","Defiled Shrine","Defiled Shrine","Entweihter Schrein",,,
"Empires","Delve","Delve","Erforschen",,,
"Empires","Conquest","Conquest","Eroberung",,,
"Empires","Encampment","Encampment","Feldlager",,,
"Empires","Rocks","Rocks","Felsen",,,
"Empires","Forum","Forum","Forum",,,
"Empires","Groundskeeper","Groundskeeper","Gärtnerin",,,
"Empires","Mountain Pass","Mountain Pass","Gebirgspass",,,
"Empires","Windfall","Windfall","Glüksfall",,,
"Empires","Gladiator","Gladiator","Gladiator",,,
"Empires","Tomb","Tomb","Grabmal",,,
"Empires","Emporium","Emporium","Handelsplatz",,,
"Empires","Wedding","Wedding","Hochzeit",,,
"Empires","Engineer","Engineer","Ingenieurin",,,
"Empires","Royal Blacksmith","Royal Blacksmith","Königlicher Schmied",,,
"Empires","King's Castle","King's Castle","Königsschloss",,,
"Empires","Catapult","Catapult","Katapult",,,
"Empires","Small Castle","Small Castle","Kleines Schloss",,,
"Empires","Colonnade","Colonnade","Kolonnaden",,,
"Empires","Crown","Crown","Krone",,,
"Empires","Labyrinth","Labyrinth","Labyrinth",,,
"Empires","Legionary","Legionary","Legionär",,,
"Empires","Overlord","Overlord","Lehnsherr",,,
"Empires","Wall","Wall","Mauer",,,
"Empires","Museum","Museum","Museum",,,
"Empires","Obelisk","Obelisk","Obelisk",,,
"Empires","Orchard","Orchard","Obstgarten",,,
"Empires","Sacrifice","Sacrifice","Opfer",,,
"Empires","Palace","Palace","Palast",,,
"Empires","Patrician","Patrician","Patrizier",,,
"Empires","Grand Castle","Grand Castle","Prunkschloss",,,
"Empires","Bandit Fort","Bandit Fort","Räuberfestung",,,
"Empires","Opulent Castle","Opulent Castle","Reiches Schloss",,,
"Empires","Fortune","Fortune","Reichtum",,,
"Empires","Ritual","Ritual","Ritual",,,
"Empires","Castles","Castles","Schlösser",,,
"Empires","Annex","Annex","Schlacht",,,
"Empires","Battlefield","Battlefield","Schlachtfeld",,,
"Empires","Settlers","Settlers","Siedler",,,
"Empires","Triumph","Triumph","Siegeszug",,,
"Empires","Donate","Donate","Spende",,,
"Empires","Haunted Castle","Haunted Castle","Spukschloss",,,
"Empires","City Quarter","City Quarter","Stadtviertel",,,
"Empires","Tax","Tax","Steuer",,,
"Empires","Temple","Temple","Tempel",,,
"Empires","Triumphal Arch","Triumphal Arch","Triumphbogen",,,
"Empires","Tower","Tower","Turm",,,
"Empires","Crumbling Castle","Crumbling Castle","Verfallendes Schloss",,,
"Empires","Capital","Capital","Vermögen",,,
"Empires","Salt the Earth","Salt the Earth","Versalztes Land",,,
"Empires","Villa","Villa","Villa",,,
"Empires","Chariot Race","Chariot Race","Wagenrennen",,,
"Empires","Wild Hunt","Wild Hunt","Wilde Jagd",,,
"Empires","Wolf Den","Wolf Den","Wolfsbau",,,
"Empires","Charm","Charm","Zauber",,,
"Empires","Enchantress","Enchantress","Zauberin",,,
"Groups","Urchin - Mercenary","Urchin / Mercenary","Gassenjunge / Söldner",,"Orphelin / Mercenaire",
"Groups","Sauna - Avanto","Sauna / Avanto","Sauna / Eisloch",,,
"Groups","Tournament and Prizes","Tournament and Prizes","Turnier und Preise",,,
"Groups","Hermit - Madman","Hermit / Madman","Eremit / Verrückter",,,
"Groups","Shelters","Shelters","Unterschlupfe",,,
"Groups","Settlers - Bustling Village","Settlers / Bustling Village","Siedler / Emsiges Dorf",,,
"Groups","Catapult - Rocks","Catapult / Rocks","Katapult / Felsen",,,
"Groups","Encampment - Plunder","Encampment / Plunder","Feldlager / Diebesgut",,,
"Groups","Gladiator - Fortune","Gladiator / Fortune","Gladiator / Reichtum",,,
"Groups","Patrician - Emporium","Patrician / Emporium","Patrizier / Handelsplatz",,,
"Groups","adventures events","Events Adventures","Ereignisse Abenteuer",,,
"Groups","empires events","Events Empires","Ereignisse Empires",,,
"Groups","promo events","Events Promo","Ereignisse Promo",,,
"Groups","events","Events","Ereignisse",,,
"Groups","empires landmarks","Landmarks Empires","Wahrzeichen Empires",,,
"Groups","landmarks","Landmarks","Wahrzeichen",,,
"Groups","Page -> Champion","Page -> Champion","Page -> Champion",,,
"Groups","Peasant -> Teacher","Peasant -> Teacher","Kleinbauer -> Lehrer",,,
"Groups","Ruins","Ruins","Ruinen","Rovine","Ruines",
"Guilds","Butcher","Butcher","Metzger",,"Boucher",
"Guilds","Baker","Baker","Bäcker",,"Boulanger",
"Guilds","Masterpiece","Masterpiece","Meisterstück",,"Chef-d'½uvre",
"Guilds","Candlestick Maker","Candlestick Maker","Leuchtenmacher",,"Cirier",
"Guilds","Journeyman","Journeyman","Wandergeselle",,"Compagnon",
"Guilds","Advisor","Advisor","Berater",,"Conseiller",
"Guilds","Soothsayer","Soothsayer","Wahrsager",,"Devin",
"Guilds","Merchant Guild","Merchant Guild","Kaufmannsgilde",,"Guilde des Marchands",
"Guilds","Herald","Herald","Herold",,"Héraut",
"Guilds","Doctor","Doctor","Arzt",,"Médecin",
"Guilds","Taxman","Taxman","Steuereintreiber",,"Percepteur",
"Guilds","Plaza","Plaza","Platz",,"Place du village",
"Guilds","Stonemason","Stonemason","Steinmetz",,"Tailleur de pierre",
"Hinterlands","Embassy","Embassy","Botschaft","Diplomatico","Ambassade","Velvyslanectví"
"Hinterlands","Ill-Gotten Gains","Ill-Gotten Gains","Blutzoll","Infame Profitto","Argent noir","Nečestné zisky"
"Hinterlands","Inn","Inn","Gasthaus","Locanda","Auberge","Hostinec"
"Hinterlands","Cache","Cache","Schatztruhe","Forziere","Cache","Úkryt"
"Hinterlands","Nomad Camp","Nomad Camp","Nomadencamp","Campo Nomadi","Campement nomade","Tábor Nomádů"
"Hinterlands","Crossroads","Crossroads","Wegkreuzung","Incrocio","Carrefour","Křižovatka"
"Hinterlands","Cartographer","Cartographer","Kartograph","Cartografo","Cartographe","Kartograf"
"Hinterlands","Scheme","Scheme","Komplott","Macchinazione","Complot","Pleticha"
"Hinterlands","Develop","Develop","Aufbau","Sviluppo","Développement","Výstavba"
"Hinterlands","Duchess","Duchess","Herzogin","Duchessa","Duchesse","Vévodkyně"
"Hinterlands","Stables","Stables","Stallungen","Stalla","Écuries","Stáje"
"Hinterlands","Mandarin","Mandarin","Mandarin","Mandarino","Mandarin","Mandarín"
"Hinterlands","Spice Merchant","Spice Merchant","Gewürzhändler","Mercante di Spezie","Marchand d'épices","Kořenář"
"Hinterlands","Haggler","Haggler","Feilscher","Contrattazione","Marchandeur","Handlíř"
"Hinterlands","Margrave","Margrave","Markgraf","Margravio","Margrave","Markrabě"
"Hinterlands","Noble Brigand","Noble Brigand","Edler Räuber","Ladro Gentiluomo","Noble brigand","Zbojník"
"Hinterlands","Oasis","Oasis","Oase","Oasi","Oasis","Oáza"
"Hinterlands","Fool's Gold","Fool's Gold","Katzengold","Oro dello Stolto","Or des fous","Kočičí Zlato"
"Hinterlands","Oracle","Oracle","Orakel","Oracolo","Oracle","Věštírna"
"Hinterlands","Highway","Highway","Fernstraße","Strada Maestra","Route","Silnice"
"Hinterlands","Silk Road","Silk Road","Seidenstraße","Via della Seta","Route de la soie","Hedvábná stezka"
"Hinterlands","Farmland","Farmland","Fruchtbares Land","Terra Coltivata","Terre agricole","Úrodná země"
"Hinterlands","Jack of all Trades","Jack of all Trades","Lebenskünstler","Tuttofare","Touche-à-tout","Všeuměl"
"Hinterlands","Trader","Trader","Fahrender Händler","Commerciante","Troqueuse","Kramář"
"Hinterlands","Tunnel","Tunnel","Tunnel","Galleria","Tunnel","Tunel"
"Hinterlands","Border Village","Border Village","Grenzdorf","Villaggio di Frontiera","Village frontalier","Pohraniční Vesnice"
"Intrigue 1","Secret Chamber","Secret Chamber","Geheimkammer","Stanza Segreta","Chambre secrète","Tajemná Komnata"
"Intrigue 1","Coppersmith","Coppersmith","Kupferschmied","Battirame","Chaudronnier","Měditepec"
"Intrigue 1","Scout","Scout","Späher","Scout","Éclaireur","Zvěd"
"Intrigue 1","Great Hall","Great Hall","Große Halle","Grande Salone","Grand Hall","Velký Sál"
"Intrigue 1","Tribute","Tribute","Tribut","Tributo","Hommage","Dar Poddaných"
"Intrigue 1","Saboteur","Saboteur","Saboteur","Sabotatore","Saboteur","Sabotér"
"Intrigue 1 & 2","Baron","Baron","Baron","Barone","Baron","Baron"
"Intrigue 1 & 2","Torturer","Torturer","Kerkermeister","Carceriere","Bourreau","Žalářník"
"Intrigue 1 & 2","Trading Post","Trading Post","Handelposten","Stazione Commerciale","Comptoir","Obchodní Místo"
"Intrigue 1 & 2","Conspirator","Conspirator","Verschwörer","Cospiratore","Conspirateur","Spiklenec"
"Intrigue 1 & 2","Courtyard","Courtyard","Burghof","Cortile di Campagna","Cour","Hradní Nádvoří"
"Intrigue 1 & 2","Duke","Duke","Herzog","Duca","Duc","Vévoda"
"Intrigue 1 & 2","Swindler","Swindler","Trickser","Truffatore","Escroc","Podvodník"
"Intrigue 1 & 2","Ironworks","Ironworks","Eisenhütte","Fonderia","Fonderie","Hutě"
"Intrigue 1 & 2","Harem","Harem","Harem","Harem","Harem","Harém"
"Intrigue 1 & 2","Steward","Steward","Verwalter","Maggiordomo","Intendant","Správce"
"Intrigue 1 & 2","Minion","Minion","Lakai","Tirapiedi","Larbin","Služebník"
"Intrigue 1 & 2","Masquerade","Masquerade","Maskerade","Ballo in Maschera","Mascarade","Maškary"
"Intrigue 1 & 2","Upgrade","Upgrade","Anbau","Potenziamento","Mise à niveau","Pokrok"
"Intrigue 1 & 2","Nobles","Nobles","Adelige","Nobili","Nobles","Šlechtici"
"Intrigue 1 & 2","Pawn","Pawn","Handlanger","Pedina","Pion","Pěšák"
"Intrigue 1 & 2","Bridge","Bridge","Brücke","Ponte","Pont","Most"
"Intrigue 1 & 2","Wishing Well","Wishing Well","Wunschbrunnen","Pozzo dei Desideri","Puits aux souhaits","Studna Přání"
"Intrigue 1 & 2","Shanty Town","Shanty Town","Armenviertel","Baraccopoli","Taudis","Chudinská Čtvrť"
"Intrigue 1 & 2","Mining Village","Mining Village","Bergwerk","Villaggio Minerario","Village minier","Důlní Osada"
"Intrigue 2","Lurker","Lurker",,,,
"Intrigue 2","Diplomat","Diplomat",,,,
"Intrigue 2","Mill","Mill",,,,
"Intrigue 2","Secret Passage","Secret Passage",,,,
"Intrigue 2","Courtier","Courtier",,,,
"Intrigue 2","Patrol","Patrol",,,,
"Intrigue 2","Replace","Replace",,,,
"Promo","Stash","Stash","Geldversteck","Gruzzolo","Cachette",
"Promo","Envoy","Envoy","Gesandter","Inviato","Délégué",
"Promo","Governor","Governor","Gouverneur",,"Gouverneur",
"Promo","Black Market","Black Market","Schwarzmarkt","Mercato Nero","Marché noir",
"Promo","Prince","Prince","Prinz",,"Prince",
"Promo","Walled Village","Walled Village","Carcassonne",,"Ville fortifiée",
"Promo","Summon","Summon","Einladung",,,
"Promo","Avanto","Avanto","Eisloch",,,
"Promo","Sauna","Sauna","Sauna",,,
"Prosperity","Expand","Expand","Ausbau","Ampliamento","Agrandissement","Růst"
"Prosperity","Bank","Bank","Bank","Banca","Banque","Banka"
"Prosperity","Counting House","Counting House","Leihhaus","Contabilità","Bureau de comptabilité","Zastavárna"
"Prosperity","Quarry","Quarry","Steinbruch","Cava","Carrière","Kamenolom"
"Prosperity","Vault","Vault","Gewölbe","Nascondiglio","Chambre forte","Trezor"
"Prosperity","Mountebank","Mountebank","Quacksalber","Ciarlatano","Charlatan","Mastičkář"
"Prosperity","Colony","Colony","Kolonie","Colonia","Colonie","Kolonie"
"Prosperity","Peddler","Peddler","Hausierer","Ambulante","Colporteur","Podomní Obchodník"
"Prosperity","Contraband","Contraband","Schmuggelware","Contrabbando","Contrebande","Kontraband"
"Prosperity","King's Court","King's Court","Königshof","Corte","Cour du Roi","Královský Dvůr"
"Prosperity","Venture","Venture","Abenteuer","Soldo","Entreprise risquée","Odvážlivec"
"Prosperity","Bishop","Bishop","Bischof","Vescovo","Évêque","Biskup"
"Prosperity","Goons","Goons","Halsabschneider","Scagnozzi","Fiers-à-bras","Hrdlořez"
"Prosperity","Forge","Forge","Kunstschmiede","Incastonare","Forge","Kování"
"Prosperity","Rabble","Rabble","Gesindel","Tumulto","Foule","Dav"
"Prosperity","Grand Market","Grand Market","Großer Markt","Mercato di Lusso","Grand marché","Velký Trh"
"Prosperity","Mint","Mint","Münzer","Zecca","Hôtel de la Monnaie","Mincovna"
"Prosperity","Hoard","Hoard","Hort","Mucchio","Magot","Bohatství"
"Prosperity","Watchtower","Watchtower","Wachturm","Torre di Guardia","Mirador","Strážní Věž"
"Prosperity","Monument","Monument","Denkmal","Monumento","Monument","Památník"
"Prosperity","Platinum","Platinum","Platin","Platino","Platine","Platina"
"Prosperity","Loan","Loan","Lohn","Prestito","Prêt","Půjčka"
"Prosperity","Trade Route","Trade Route","Handelsroute","Mercante","Route commerciale","Obchodní Stezka"
"Prosperity","Royal Seal","Royal Seal","Königliches Siegel","Sigillo Reale","Sceau royal","Královská pečeť"
"Prosperity","Talisman","Talisman","Talisman","Talismano","Talisman","Talisman"
"Prosperity","Worker's Village","Worker's Village","Arbeiterdorf","Cantiere","Village ouvrier","Dělnická Čtvrť"
"Prosperity","City","City","Stadt","Città","Ville","Město"
"Seaside","Ambassador","Ambassador","Botschafter","Ambasciatore","Ambassadeur",
"Seaside","Outpost","Outpost","Aussenposten","Avamposto","Avant-poste",
"Seaside","Pirate Ship","Pirate Ship","Piratenschiff","Nave Pirata","Bateau pirate",
"Seaside","Bazaar","Bazaar","Bazar","Bazar","Bazar",
"Seaside","Caravan","Caravan","Karawane","Carovana","Caravane",
"Seaside","Treasure Map","Treasure Map","Schatzkarte","Mappa del Tesoro","Carte aux trésors",
"Seaside","Smugglers","Smugglers","Schmuggler","Contrabbandieri","Contrebandiers",
"Seaside","Cutpurse","Cutpurse","Beutelschneider","Borseggiatore","Coupeur de bourses",
"Seaside","Embargo","Embargo","Embargo","Embargo","Embargo",
"Seaside","Warehouse","Warehouse","Lagerhaus","Magazzino","Entrepôt",
"Seaside","Explorer","Explorer","Entdecker","Avventuriero","Explorateur",
"Seaside","Haven","Haven","Hafen","Rada","Havre",
"Seaside","Island","Island","Insel","Isola","Île",
"Seaside","Navigator","Navigator","Navigator","Navigatore","Navigateur",
"Seaside","Merchant Ship","Merchant Ship","Handelsschiff","Nave Mercantile","Navire marchand",
