"Sets";"Card";"Cost";"Count";"Randomizer";"Types";"Group";"Description";"Extra"
"menagerie";"Village Green";4;;"Y";"Action,Duration,Reaction";;"Either now or at the start of your next turn, +1 Card and +2 Actions.<line>When you discard this other than during Clean-up, you may reveal it to play it.";"When playing Village Green, choose whether to take +1 Card and +2 Actions immediately, or at the start of your next turn.<n>If you choose \""immediately,\"" Village Green will be discarded in the same turn's Clean-up; if you choose \""next turn,\"" Village Green will be discarded that turn.<n>If you play a Village Green multiple times, such as with Mastermind, you choose each time whether to take +1 Card and +2 Actions immediately or next turn, and the Village Green only stays in play until next turn if at least one of the plays was for next turn (in which case the Mastermind also stays in play).<n>Village Green also lets you play it when you discard it, other than in Clean-up.<n>You can only discard Village Green if something causes you to or lets you, and discarding it only lets you play it once (each time you discard it). This works whether it is your turn or another player's, and whether you discard it from your hand, or deck (such as with Cardinal), or from being set aside, or from Exile. This ability does not function if Village Green is put into your discard pile without being discarded, such as when bought, or due to Scavenger (from Dark Ages). The key thing to look for is a card telling you to \""discard\"" cards.<n>If you play Village Green when it is not your turn, and choose to take the +1 Card and +2 Actions immediately, the +2 Actions will not be useful.<n>If you play Vassal and discard Village Green, you can react with Village Green to play it, and then Vassal lets you play it too. Vassal is discarded during from play that turn, regardless of whether Village Green stays out."
"menagerie";"Barge";5;;"Y";"Action,Duration";;"Either now or at the start of your next turn,<n>+3 Cards and +1 Buy.";"When playing Barge, choose whether to take +3 Cards and +1 Buy immediately, or at the start of your next turn.<n>If you choose \""immediately,\"" Barge will be discarded in the same turn's Clean-up; if you choose \""next turn,\"" Barge will be discarded that turn.<n>If you play a Barge multiple times, such as with Mastermind, you choose each time whether to take +3 Cards and +1 Buy immediately or next turn, and the Barge only stays in play until next turn if at least one of the plays was for next turn (in which case the Mastermind also stays in play)."
"menagerie";"Coven";5;;"Y";"Action,Attack";;"+1 Action<br>+2 Coin<br>Each other player Exiles a Curse from the Supply. If they can't, they discard their Exiled Curses.";"Curses are Exiled in turn order; it may be that one player Exiles a Curse while another discards the Curses from their mat."
"menagerie";"Displace";5;;"Y";"Action";;"Exile a card from your hand. Gain a differently named card costing up to 2 Coin more than it.";"The card you gain does not have to cost more than the card you Exiled.<n>For example, you could Exile a Province and gain a Gold."
"menagerie";"Falconer";5;;"Y";"Action,Reaction";;"Gain a card to your hand costing less than this.<line>When any player gains a card with 2 or more types (Action, Attack, etc.), you may play this from your hand.";"This can only gain cards from the Supply.<n>You can react with this to any gained card with 2 or more types; it can be a card that was bought, or a card gained some other way, such as via a Falconer.<n>You can do this regardless of who gained the card - you or anyone else - and regardless of whose turn it is.<n>The types are the words on the bottom line – including Action, Attack, Curse, Duration, Reaction, Treasure, and Victory (with more in other expansions).<n>If you gain a Falconer to your hand - such as via Artisan - you can react to that gain and play it, since it has two types."
"menagerie";"GateKeeper";5;;"Y";"Action,Duration,Attack";;"At the start of your next turn, +3 Coin. Until then, when another player gains an Action or Treasure card they don't have an Exiled copy of, they Exile it.";"While under this attack, whenever you gain an Action or Treasure that you do not have a copy of on your Exile mat, you Exile the gained card.<n>Gaining a card that you do have a copy of on your Exile mat is unaffected, and lets you discard copies from your Exile mat if you want to as usual.<n>Other abilities that happen when you gain a card happen at the same time, and you can only put the card on your mat if it has not moved anywhere since gaining it; so you can, for example, use a Sleigh to put a gained card into your hand, then fail to put it on your Exile mat.<n>Gatekeeper only Exiles Actions and Treasures, it does not Exile, for example, Province.<n>It only cares about cards in Exile, it does not care how they got there."
"menagerie";"Hunting Lodge";5;;"Y";"Action";;"+1 Card<br>+2 Actions<br>You may discard your hand for +5 Cards.";"When you play this, first draw a card and get +2 Actions; then decide if you want to discard your hand (which will include the card you just drew).<n>If you do discard your hand, draw 5 cards (which may cause you to shuffle in the discarded cards)."
"menagerie";"Kiln";5;;"Y";"Action";;"+2 Coin<br>The next time you play a card this turn, you may first gain a copy of it.";"Kiln can gain any type of card, as long as the card is played directly after Kiln.<n>It can only gain cards from the Supply.<n>You (optionally) gain a copy of the card before following the instructions on the card.<n>If the card is an Attack and other players want to use cards like Moat, you gain the card before they choose to use Moat or not.<n>If you Throne Room a Kiln, you will play Kiln, play Kiln again, first gaining a Kiln (optionally), and then can still gain a copy of the next card you play after that.<n>If the next card you play is an Action and you use a Way for it, that has no special interaction with Kiln; you still may optionally gain a copy of that card."
"menagerie";"Livery";5;;"Y";"Action";;"+3 Coin<br>This turn, when you gain a card costing 4 Coin or more, gain a Horse.";"This is cumulative; for example, if you use Mastermind to play a Livery three times, then each card you gain that turn costing 4 Coin or more will come with three Horses.<n>Livery works on cards gained via buying them, and cards gained other ways."
"menagerie";"Mastermind";5;;"Y";"Action,Duration";;"At the start of your next turn, you may play an Action card from your hand three times.";"Playing an Action card via this is optional. If you do play one, you resolve the card completely, then play it a second time, then play it a third time, without playing other cards in-between (unless told to by a card).<n>Playing these Actions does not use up Action plays. For example, if you Mastermind a Bounty Hunter, you will get +3 Actions total, and be able to play 4 Action cards after that - your normal one, plus 3 more for the +3 Actions.<n>If a Mastermind plays a Duration card, the Mastermind stays in play as long as the Duration card does.<n>If a Mastermind plays another Mastermind, both will stay in play, and the turn after that you can play three different Action cards from your hand three times each.<n>If you Mastermind a Horse, you will get +2 Cards and +1 Action, return the Horse to its pile, get +2 Cards and +1 Action, fail to return the Horse since you already did, and get +2 Cards and +1 Action a third time and fail to return the Horse again."
"menagerie";"Paddock";5;;"Y";"Action";;"+2 Coin<br>Gain 2 Horses.<br>+1 Action per empty Supply pile.";"This only checks how many piles are empty when you play it; how many +Actions you got does not change if a pile becomes empty later in the turn (or non-empty, such as due to Ambassador from Seaside).<n>This only counts Supply piles, not non-Supply piles like Horse."
"menagerie";"Sanctuary";5;;"Y";"Action";;"+1 Card<br>+1 Action<br>+1 Buy<br>You may Exile a card from your hand.";"Exiling a card is optional."
"menagerie";"Fisherman";"5*";;"Y";"Action";;"+1 Card<br>+1 Action<br>+1 Coin<line>During your turns, if your discard pile is empty, this costs 3 Coin less.";"This costs 5 Coin normally, but 2 Coin whenever the player whose turn it is has an empty discard pile.<n>If you have and two Buys with an empty discard pile, you can buy Fisherman for 2 Coin, but then you will no longer have an empty discard pile, so you cannot buy a second for 2 Coin."
"menagerie";"Destrier";"6*";;"Y";"Action";;"+2 Cards<br>+1 Action<line>During your turns, this costs 1 Coin less per card you've gained this turn.";"Destrier costs 1 Coin less per card the player whose turn it is has gained that turn.<n>For example, you could play a Sleigh to gain two Horses, then use Workshop to gain a Destrier, as it would cost 4 Coin.<n>Destrier only cares about cards gained by the player whose turn it is; for example, playing Witch to give other players Curses will not lower its cost."
"menagerie";"Wayfarer";"6*";;"Y";"Action";;"+3 Cards<br>You may gain a Silver.<line>This has the same cost as the last other card gained this turn, if any.";"Cards that lower costs, like Bridge from Intrigue, only apply to the other card, not to Wayfarer too (though they apply to Wayfarer if no other cards have been gained yet). For example, if you play Bridge, Wayfarer costs 5 Coin; if you then buy a Silver, at that point Wayfarer costs 2 Coin, the same as Silver.<n>Wayfarer can have a cost with Potion (from Alchemy) or Debt (from Empires) in it.<n>Buying Animal Fair via trashing an Action card changes the cost of Wayfarer to 7 Coin, Animal Fair's cost, not to trashing an Action card.<n>If the cost of the last card gained changes after it was gained, the cost of Wayfarer changes too. For example, if you gain a Peddler when it costs 8 Coin, and then play 2 Action cards, Peddler and therefore Wayfarer both now cost 4 Coin in the Buy phase.<n>The cost of Wayfarer can change while resolving other cards. For example, if you play Stonemason and trash a Wayfarer which costs 6 Coin, you then gain a cheaper card such as Duchy which costs 5 Coin; then you gain a second card costing less than Wayfarer which now costs 5 Coin."
"menagerie";"Animal Fair";"7*";;"Y";"Action";;"+4 Coin<br>+1 Buy per empty supply pile.<line>Instead of paying this card's cost, you may trash an Action card from your hand.";"This only checks how many piles are empty when you play it; how many +Buys you got does not change if a pile becomes empty later in the turn (or non-empty, such as due to Ambassador from Seaside).<n>This only counts Supply piles, not non-Supply piles like Horse.<n>When buying this card, you can trash an Action card from your hand instead of paying 7 Coin. You can only do this if you have an Action card in hand to trash. You can do this even if you do not have 7 Coin. When buying Animal Fair this way, you spend no _ Coin, but still use up a Buy.<n>Animal Fair still has a cost of 7 Coin, regardless of how you pay for it.<n>In games using Shelters, you can use an opening buy on Animal Fair by trashing Necropolis."
"menagerie";"Horse";"3*";30;"N";"Action";;"+2 Cards<br>+1 Action<n>Return this to its pile.<n><i>(This is not in the Supply.)</i>";"It is a one-shot non-terminal draw card, similar to Experiment from Renaissance; but unlike Experiment, it is not in the supply, and therefore can only be gained in more restricted ways."
"menagerie";"Way of the Butterfly";;1;"N";"Way";"menagerie ways";"You may return this to its pile to gain a card costing exactly 1 coin more than it.";"You only gain a card if you manage to return the card to its pile. A non-Supply card (like HorseHorse.jpg) can return to its pile; a card with no pile, such as Necropolis (from Dark Ages), fails to return to its pile. The card you gain comes from the Supply, and can be any type; if there is no card in the Supply costing exactly more than the returned card, you do not gain one."
"menagerie";"Way of the Camel";;1;"N";"Way";"menagerie ways";"Exile a Gold from the Supply.";
"menagerie";"Way of the Chameleon";;1;"N";"Way";"menagerie ways";"Follow this card's instructions; each time that would give you +Cards this turn, you get +_ Coin instead, and vice-versa.";"For example, if you play Sheepdog and use Way of the Chameleon, you will get +2 Coin instead of +2 Cards.<n>If you play a Duration card using Way of the Chameleon, only the +Coin and +Cards you get that turn are affected; for example, if you play Merchant Ship (from Seaside) and use Way of the Chameleon, you will get +2 Cards this turn, but the normal +2 Coin next turn.<n>This turns ""+Cards"" into ""+Coin"" and vice-versa, but does not change other ways to draw cards, for example, ""draw until you have 6 cards in hand.""<n>If the card that uses Way of the Chameleon plays another card, that card just does what it normally does (unless you use Way of the Chameleon on it as well)."
"menagerie";"Way of the Frog";;1;"N";"Way";"menagerie ways";"+1 Action<n>When you discard this from play this turn, put it onto your deck.";
"menagerie";"Way of the Goat";;1;"N";"Way";"menagerie ways";"Trash a card from your hand.";
"menagerie";"Way of the Horse";;1;"N";"Way";"menagerie ways";"+2 Cards<br>+1 Action<n>Return this to its pile.";"The card returns to its pile, even if that is a non-Supply pile. A card with no pile, such as Necropolis (from Dark Ages), fails to return to its pile.<n>If you use a card like Necromancer to play another card without moving it into play, and use Way of the Horse, that card does not move to its pile.<n>Failing to return a card to a pile does not stop you from getting +2 Cards and +1 Action."
"menagerie";"Way of the Mole";;1;"N";"Way";"menagerie ways";"+1 Action<br>Discard your hand. +3 Cards.";"You draw 3 cards even if you did not have any cards left to discard."
"menagerie";"Way of the Monkey";;1;"N";"Way";"menagerie ways";"+1 Buy<br>+1 Coin";
"menagerie";"Way of the Mouse";;1;"N";"Way";"menagerie ways";"Play the set-aside card, leaving it there.<line>Setup: Set aside an unused Action costing 2 Coin or 3 Coin.";"Set aside any unused Action kingdom card costing 2 Coin or 3 Coin at the start of the game. Do any setup that that card requires.<n>When using Way of the Mouse, you play the set-aside card, leaving it set-aside. For example, if you set aside Sleigh, then any Action card could be used to gain 2 Horses.<n>The set-aside card cannot move itself when played, since it is not in play; for example, if the card is Embargo (from Seaside), it cannot be trashed.<n>Text below a dividing line (other than setup) will not do anything."
"menagerie";"Way of the Mule";;1;"N";"Way";"menagerie ways";"+1 Action<br>+1 Coin";
"menagerie";"Way of the Otter";;1;"N";"Way";"menagerie ways";"+2 Cards ";
"menagerie";"Way of the Owl";;1;"N";"Way";"menagerie ways";"Draw until you have 6 cards in hand.";"If you already have 6 or more cards in hand, you do not draw any cards."
"menagerie";"Way of the Ox";;1;"N";"Way";"menagerie ways";"+2 Actions";
"menagerie";"Way of the Pig";;1;"N";"Way";"menagerie ways";"+1 Card<br>+1 Action";
"menagerie";"Way of the Rat";;1;"N";"Way";"menagerie ways";"You may discard a Treasure to gain a copy of this.";"This can only gain cards from the Supply."
"menagerie";"Way of the Seal";;1;"N";"Way";"menagerie ways";"+1 Coin<br>This turn, when you gain a card, you may put it onto your deck.";"This applies to all gained cards, whether bought or otherwise gained.<n>The card first is gained to wherever it normally would be, then you can move it onto your deck. If it moves somewhere else in-between (for example, trashing it using Watchtower from Prosperity), you cannot move it."
"menagerie";"Way of the Sheep";;1;"N";"Way";"menagerie ways";"+2 Coin";
"menagerie";"Way of the Squirrel";;1;"N";"Way";"menagerie ways";"+2 Cards at the end of this turn.";"Normally you get the two cards after drawing your hand in Clean-up. If you use this when it is not your turn (such as via Black Cat), you still draw two cards at the end of the turn."
"menagerie";"Way of the Turtle";;1;"N";"Way";"menagerie ways";"Set this aside. If you did, play it at the start of your next turn.";"When you play the card at the start of your next turn, you can again use Way of the Turtle, delaying it another turn. You can keep doing this.<n>Playing the card next turn does not use up an Action then. If you use a card like Throne Room to play a card twice, and then use Way of the Turtle, this does not cause the Throne Room to be set aside, or to stay in play as with Duration cards.<n>If you use a card like Throne Room to play a card twice, and choose Way of the Turtle both times, you still only get one play at the start of your next turn, as you were not able to set it aside the second time."
"menagerie";"Way of the Worm";;1;"N";"Way";"menagerie ways";"Exile an Estate from the Supply.";
"menagerie";"Delay";0;1;"N";"Event";"menagerie events";"You may set aside an Action card from your hand. At the start of your next turn, play it.";"Once you set aside the Action card, you have to play it at the start of your next turn.<n>If you do multiple things at the start of your turn, you can order them.<n>Playing the Action card at the start of your next turn does not use up an Action."
"menagerie";"Desperation";0;1;"N";"Event";"menagerie events";"Once per turn: You may gain a Curse. If you do, +1 Buy and +2  Coin";"If the Curse pile is empty, you fail to gain one and do not get +1 Buy and +2 Coin."
"menagerie";"Gamble";2;1;"N";"Event";"menagerie events";"+1 Buy<n>Reveal the top card of your deck. If it's a Treasure or Action, you may play it. Otherwise, discard it.";"If you don't play the card, you discard it, whether or not it's a Treasure or Action. "
"menagerie";"Pursue";2;1;"N";"Event";"menagerie events";"+1 Buy<n>Name a card. Reveal the top 4 cards from your deck. Put the matches back and discard the rest.";"You can name a card that is not in the game; all four cards will be discarded. "
"menagerie";"Ride";2;1;"N";"Event";"menagerie events";"Gain a Horse.";"You simply gain a Horse. "
"menagerie";"Toil";2;1;"N";"Event";"menagerie events";"+1 Buy<n>You may play an Action card from your hand.";"Playing an Action card this way does not use up an Action. "
"menagerie";"Enhance";3;1;"N";"Event";"menagerie events";"You may trash a non-Victory card from your hand, to gain a card costing up to 2 coin more than it.";"If you trash a card, you must gain a card costing up to 2 coin more than it. "
"menagerie";"March";3;1;"N";"Event";"menagerie events";"Look through your discard pile. You may play an Action card from it.";"Normally you cannot look through your discard pile, so you cannot look to see if you want to buy March or not.<n>Once you buy March, you look through your discard pile, and then have the option of playing an Action card from it.<n>This does not use up an Action."
"menagerie";"Transport";3;1;"N";"Event";"menagerie events";"Choose one: Exile an Action card from the Supply; or put an Action card you have in Exile onto your deck.";"It only matters if the card is an Action, not if the whole pile is.<n>This can take Action cards from your Exile mat that were put there by other cards.  "
"menagerie";"Banish";4;1;"N";"Event";"menagerie events";"Exile any number of cards with the same name from your hand.";"For example, you could Exile three Estates from your hand. "
"menagerie";"Bargain";4;1;"N";"Event";"menagerie events";"Gain a non-Victory card costing up to 5 coin. Each other player gains a Horse.";"The other players gain their Horses in turn order.<n>They cannot decline to gain one. "
"menagerie";"Invest";4;1;"N";"Event";"menagerie events";"Exile an Action card from the Supply. While it's in Exile, when another player gains or Invests in a copy of it, +2 Cards.";"It only matters if the card you Exile is an Action, not if the whole pile is.<n>While the card is Exiled, you draw 2 cards each time another player gains a copy of it, or uses Invest to Exile a copy of it.<n>This is not optional.<n>This is cumulative; if you Invest twice in the same card, you will get +4 Cards each time someone else gains a copy or Invests in it.<n>If the game has another way to Exile cards, keep the Invested ones separate from the other ones; for example, you can put them half under the mat.<n>Those other Exiled cards were not Invested and do not draw you cards.<n>Cards Exiled with Invest can be discarded from the mat in the normal way, by gaining another copy of the card; then you will no longer draw cards for players gaining/Investing in them."
"menagerie";"Seize the Day";4;1;"N";"Event";"menagerie events";"Once per game: Take an extra turn after this one.";"The extra turn is like a normal turn, except that it does not count for the tiebreaker. "
"menagerie";"Commerce";5;1;"N";"Event";"menagerie events";"Gain a Gold per differently named card you've gained this turn.";"First count how many differently named cards you have gained this turn, then gain that many Golds. For example, if you have gained two Province, a Silver, and a Horse, you would gain three Golds."
"menagerie";"Demand";5;1;"N";"Event";"menagerie events";"Gain a Horse and a card costing up to 4 coin, both onto your deck.";"The Horse goes on top first, then the card costing up to 4 coin does. "
"menagerie";"Stampede";5;1;"N";"Event";"menagerie events";"If you have 5 or fewer cards in play, gain 5 Horses onto your deck.";"It does not matter how many cards you played that turn, only how many you have in play when buying Stampede. If there are fewer than 5 Horses left in the pile, just gain as many as you can. "
"menagerie";"Reap";7;1;"N";"Event";"menagerie events";"Gain a Gold. Set it aside. If you do, at the start of your next turn, play it.";"This means you will start your next turn with a Gold in play and +3 Coin from it.<n>You discard the Gold that turn as normal.<n>If multiple things happen at the start of your turn, you can order them.<n>This does not skip your Action phase."
"menagerie";"Enclave";8;1;"N";"Event";"menagerie events";"Gain a Gold. Exile a Duchy from the Supply.";"The Duchy goes directly from the Duchy pile to your Exile mat."
"menagerie";"Alliance";10;1;"N";"Event";"menagerie events";"Gain a Province, a Duchy, an Estate, a Gold, a Silver, and a Copper.";"You gain each of those cards that is present in the Supply; you cannot choose not to gain one. You gain them in the order listed."
"menagerie";"Populate";10;1;"N";"Event";"menagerie events";"Gain one card from each Action Supply pile.";"You gain the top card from each Action pile in the Supply; you do not gain non-supply cards like Horse, or non-Action cards like Stockpile.<n>If there are different cards in an Action pile, like the Knights (from Dark Ages), you just get the top one.<n>If a pile is empty, you do not gain one of those.<n>You choose the order to gain the cards, which sometimes matters; normally you can pick up a card from each pile and then choose what order to gain them in.<n>For piles with different cards, the pile is an Action pile if the randomizer is an Action; so, Castles (from Empires) are not one.<n>If you gain Cavalry or Villa (from Empires) with Populate, you return to your Action phase right then, but still finish gaining cards from Populate before doing more things."
;"menagerie ways";;;;;"Ways - Menagerie";"<justify>Ways are a landscape that provide alternate ways to play Action cards. When you play an Action card, instead of doing what is printed on the Action card, you may do what is printed on a Way being used in that game.</justify><n><justify>Ways are not Kingdom cards, and cannot be bought. Including one or more Ways in a game does not count toward the 10 Kingdom card piles the Supply includes. In fact, Ways are not considered “cards” at all; any text referring to a “card” (such as instructions to “name a card”) does not apply to Ways. However, for reference, Ways' effects are printed on cards in a landscape orientation with light blue frames.</justify>";"Each Way gives Action cards an additional option: you can play the Action for what it normally does, or play it to do what the Way says to do. Playing an Action card for a Way ability means not doing anything the Action card said to do when played. For example, if you have Way of the Sheep in a game, which says \""+2 Coin,\"" then you could play a Horse and choose to get +2 Coin; if you did so, you would not get +2 Cards and +1 Action, and would not return the Horse to its pile. Ways are not Kingdom cards, and cannot be bought; they sit on the table modifying the game rules. Text below a dividing line is unaffected, it will still happen whenever it says it does. For example, if you play a Highway (from Hinterlands) and use Way of the Sheep, you get +2 Coin, and then while Highway is in play, its ability makes cards cheaper. For tracking, it is helpful to tilt a card that was played using a Way, so that you remember that it did the Way instead of what it says. Some Ways refer to \""this.\"" That is the card being used to do the Way ability. For example, Way of the Turtle says \""Set this aside...\"" If you play a Market using Way of the Turtle, you will set the Market aside. Enchantress from Empires also changes what an Action card does when played. If you are affected by Enchantress, you can use a Way instead of getting the +1 Card and +1 Action that Enchantress's effect would give you. When an Action card can be played at an unusual time, like Sheepdog, it can still be used as a Way. If you play an Action card multiple times, with a card like Mastermind, you can choose for each play whether you want it to use a Way or not. If the card you are playing is a Duration card, it only stays in play if at least one of its plays was for its own abilities. If it does stay in play, you will have to remember for your next turn how many times you actually played the Duration card for its abilities. The choice to use a Way or not happens after \""first\"" abilities on cards like Moat and Kiln. The Adventures tokens from Adventures still apply when playing a card using a Way. Any number of Ways may be used in a game of Dominion, though it is recommended to not use more than one Way, and not more than two total Ways, Events, Landmarks, and Projects."
;"menagerie events";;;;;"Events - Menagerie";"<justify>Events are not Kingdom cards. In a player's Buy phase, when the player can buy a card, the player can buy an Event instead. Buying an Event means paying the cost indicated on the Event and then doing the effect of the Event. The Event just stays on the table, the player does not take it; there is no way for a player to gain one or end up with one in his deck. Buying an Event uses up a Buy; normally a player can either buy a card, or buy an Event. A player with two Buys, such as after playing Ranger, could buy two cards, or buy two Events, or buy a card and an Event (in either order). The same Event can be bought multiple times in a turn if the player has the Buys and available to do it. Some Events give +Buys and so let the player buy further cards/Events afterwards. Players cannot play further Treasures that turn after buying an Event. Buying an Event is not buying a card and so does not trigger cards like Swamp Hag or Goons (from Prosperity). Costs of Events are not affected by cards like Bridge Troll.</justify>";"Events are special on-buy effects not attached to cards. Players can buy Events during their Buy phase to trigger whatever the effect of the Event is, as an alternative to (or in addition to) buying cards from the supply.<n>Events are not Kingdom cards; including one or more Events in a game does not count toward the 10 Kingdom card piles the supply includes. In fact, Events are not considered \""cards\"" at all. Any text referring to a \""card\"" (such as instructions to \""name a card\"", or cost reducers changing the cost of cards) does not apply to Events. However, for reference, the Event effects and costs are printed on cards in a landscape orientation with silver frames.<n>Any number of Events may be used in a game, but the recommendation is to not use more than two total Events and Landmarks. When choosing a random Kingdom, the Events may be shuffled into the randomizer deck; any Events that are dealt once 10 Kingdom cards have also been dealt will be included in the game. "
